gender,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,Churn
Male,30.0,42.59,1325.81,,DSL,0.0
Male,10.0,103.01,-999.0,Month-to-month,Fiber optic,1.0
Male,61.0,53.03,3214.99,Month-to-month,Fiber optic,1.0
Male,16.0,55.26,854.16,Two year,DSL,0.0
Male,12.0,115.93,1436.04,Month-to-month,No,999999.0
Male,-999.0,34.51,2250.17,Two year,No,1.0
Male,68.0,63.41,4290.07,,No,0.0
Male,13.0,109.59,1422.14,Month-to-month,No,1.0
Male,57.0,30.85,1743.93,Two year,DSL,0.0
Male,66.0,57.9,3869.86,Month-to-month,Fiber optic,1.0
Male,67.0,103.36,6945.59,nan???,Fiber optic,1.0
,11.0,36.94,384.7,One year,Fiber optic,0.0
Female,552429.5699103128,78.51,4523.57,Month-to-month,No,1.0
Male,61.0,30.76,1926.23,two year,Fiber optic,0.0
Male,51.0,69.51,3503.51,One year,No,1.0
Female,14.0,23.88,381.84,Two year,DSL,0.0
Female,,,1590.01,Month-to-month,Fiber optic,1.0
Female,52.0,70.0,3685.01,One year,Fiber optic,0.0
Female,19.0,37.33,708.2,One year,DSL,0.0
Male,4.0,53.7,171.62,Month-to-month,No,1.0
Male,49.0,39.62,1921.66,,No,0.0
Male,,42.12,2838.25,One year,Fiber optic,0.0
Female,70.0,62.8,4441.26,One year,No,1.0
Female,16.0,48.87,769.55, One year ,Fiber optic,0.0
,23.0,71.62,1627.56,Two year,No,0.0
Female,56.0,100.1,5604.35,Month-to-month,Fiber optic,1.0
Female,71.0,54.33,3855.02,Two year,No,0.0
Male,51.0,65.46,999999.0,One year,Fiber optic,0.0
Female,42.0,91.33,3798.68,Month-to-month,DSL,1.0
Male,44.0,55.69,2499.55,One year,DSL,0.0
Male,32.0,133512.1708695652,3061.09,Month-to-month,DSL,0.0
Male,40.0,61.88,2479.04,Month-to-month,Fiber optic,1.0
Female,66.0,31.22,2057.49, One year ,Fiber optic,1.0
Female,49.0,39.35,1887.92,Two year,Fiber optic,0.0
Male,44.0,78.69,3479.1,One year,No,1.0
Female,47.0,59.82,2846.27,One year,dsl,0.0
Male,37.0,47.84,1777.43,One year,DSL,0.0
Male,13.0,36.4,479.84,Two year,Fiber optic,0.0
Female???,27.0,69.09,1845.61,One year,DSL,0.0
female,,999999.0,3815.33,One year,DSL,0.0
Male,3.0,50.97,121.56,Two year,No,0.0
Female,35.0,68.54,2434.18,Two year,No,0.0
Male,67.0,82.37,5492.83,Month-to-month,Fiber optic,1.0
Female,56.0,81.61,4611.27,One year,Fiber optic,0.0
Female,35.0,39.64,1406.09,One year,No,0.0
Male,15.0,51.94,808.8,,DSL,1.0
Female,72.0,68.82,4908.74,One year,Fiber optic,1.0
Male???,4.0,69.52,245.68,One year,Fiber optic,0.0
Female,3.0,71.97,195.71,Month-to-month,DSL,1.0
Female,47.0,73.14,3427.27,Two year,No,0.0
Male,31.0,101.41,3187.0,Month-to-month,No,1.0
Female,64.0,91.99,-999.0,Month-to-month,DSL@@,1.0
Female,31.0,38.66,1165.98,One year,DSL,0.0
Female,53.0,33.36,1771.43,,No,0.0
Male,41.0,311274.05920110235,1962.72,Two year,Fiber optic,1.0
Male,47.0,52.06,2427.64,One year,No,0.0
Male,7.0,34.38,245.93,,No,1.0
Female,16.0,71.46,1132.21,Two year,DSL,0.0
Female,33.0,86.18,2869.61,One year,DSL,1.0
Male,57.0,72.77,4174.56,Two year,Fiber optic,0.0
Male,36.0,82.98,2978.58,Month-to-month,Fiber optic,0.0
Female,,68.27,844.15,Month-to-month,No,1.0
Female,59.0,65.72,3891.62,Two year,DSL###,1.0
Female,18.0,64.01,1132.73,Month-to-month,Fiber optic,1.0
Male,21.0,99.95,2125.71,Month-to-month,No,1.0
Male,53.0,58.7,3134.62,One year,Fiber optic,1.0
Female,37.0,79.01,2891.56,Month-to-month,DSL,0.0
Male,3.0,95.3,,Month-to-month,No,1.0
Female,26.0,81.11,2063.84,One year,No,0.0
Female,20.0,61.91,1244.92,Month-to-month,Fiber optic,1.0
Female,59.0,27.11,1620.85,Two year,Fiber optic,1.0
Female,37.0,42.92,1581.17,Two year,Fiber optic,1.0
Male,37.0,31.36,,Two year,No,0.0
Male,,67.06,2589.01,One year,DSL,0.0
Female,11.0,59.32,634.84,Month-to-month,Fiber optic,1.0
Male,50.0,,3184.12,Two year,Fiber optic,1.0
Male,7.0,58.26,393.25,One year,DSL,0.0
Male,1.0,67.18,47.43,One year,No,1.0
Female,330535.2238221016,54.83,908.14,Two year,DSL,0.0
Female???,60.0,72.21,4335.64,Month-to-month,DSL,1.0
Male,41.0,84.94,3529.88,Month-to-month,DSL,1.0
Female,56.0,66.78,3765.84,One year,Fiber optic,1.0
Female,999999.0,101.58,5687.61,Month-to-month,Fiber optic,0.0
Female,7.0,53.82,345.05,Month-to-month,DSL,1.0
Male,60.0,89.71,5425.32,One year,DSL,1.0
Female,72.0,59.58,4324.34,One year,Fiber optic,0.0
Male,45.0,110.77,4952.72,Month-to-month,DSL,1.0
Female,28.0,,1450.76,Two year,DSL,0.0
,32.0,35.66,1123.99,One year,No,0.0
Male,51.0,,859853.9835360826,One year,No,1.0
Male,11.0,69.57,760.68,One year,No,0.0
Male,43.0,,4018.82,, No ,0.0
Male,28.0,69.81,1984.49,Month-to-month,No,0.0
Female,12.0,40.68,534.66,One year,Fiber optic,0.0
Male,3.0,77.2,221.84,Month-to-month,DSL,1.0
Male,16.0,78.07,1272.71,One year,Fiber optic,0.0
Male,46.0,69.92,3217.59,Two year,DSL,0.0
Female,61.0,66.02,3986.24,One year,No,0.0
Female,24.0,55.56,1287.48,One year,No,0.0
Female,29.0,62.82,1864.85,Two year,No,0.0
Male,38.0,999999.0,1350.65,One year,Fiber optic,0.0
Male,39.0,79.94,3124.51,Month-to-month,No,0.0
Male,66.0,79.74,5222.29,Month-to-month,No,0.0
Female,46.0,34.91,1606.2,One year,No,1.0
Female,23.0,53.17,1214.54,Month-to-month,Fiber optic,0.0
Female,59.0,57.43,3364.88,Two year,Fiber optic,0.0
Male,28.0,102.29,2874.53,Month-to-month,DSL,0.0
Male,56.0,20.35,1101.27,Two year,DSL,1.0
Female,59.0,72.13,4302.25,Two year,Fiber optic,0.0
Female,39.0,41.64,1641.34,Two year,No,371983.74900588597
Female,39.0,59.46,2288.02,Month-to-month,DSL,0.0
Male,,95.4,396.57,Month-to-month,Fiber optic,1.0
Male,12.0,38.89,458.87,One year,Fiber optic,1.0
Male,57.0,31.18,1772.21,One year,Fiber optic@@,1.0
Female,51.0,50.55,,Month-to-month,Fiber optic,0.0
 Female ,64.0,55.75,3573.43,Two year,No,0.0
Female,52.0,65.46,3415.07,,No,0.0
Female,195556.51206220678,51.7,999999.0,Two year,DSL,0.0
Male,35.0,73.35,2528.94,Two year,Fiber optic,0.0
Female,58.0,21.25,1211.3,Two year,Fiber optic,1.0
Female,57.0,65.38,3767.57,Month-to-month,No,1.0
Female,17.0,,1281.54,One year,No,0.0
Female,61.0,64.5,3953.57,Month-to-month,No@@,1.0
Female,17.0,60.94,1035.2,Month-to-month,DSL,0.0
Female,39.0,88.98,-999.0,Month-to-month,DSL,1.0
Female,46.0,30.48,1438.03,Two year,DSL,0.0
 Male ,44.0,,-999.0,one year,DSL,0.0
Female,44.0,76.21,3358.94,One year,DSL,0.0
 Male ,7.0,87.76,,One year,Fiber optic,0.0
Male,-999.0,57.38,4144.35,Month-to-month,No,-999.0
Female,21.0,62.49,1338.49,Two year,Fiber optic,0.0
,20.0,40.08,765.38,Two year,Fiber optic,0.0
Female,,108.44,5853.13,Month-to-month,DSL,1.0
Male,11.0,72.91,793.51,ONE YEAR,Fiber optic,0.0
Male,20.0,67.23,,Two year,Fiber optic,0.0
Female,59.0,41.71,2413.87,Two year,No,1.0
Male,67.0,73.68,4926.73,Month-to-month,DSL,0.0
Female,8.0,,571.03,One year,DSL,0.0
,67.0,54.12,3644.13,One year,Fiber optic,999999.0
Female,466189.8050560313,79.62,3304.44,One year,DSL,0.0
Male,52.0,,2204.56, One year ,No,0.0
Female,45.0,66.52,3031.5,Two year,Fiber optic,1.0
Female,50.0,64.4,3182.6,Two year,No,0.0
,,88.63,2483.77,Month-to-month,No,0.0
Male,3.0,91.48,248.57,Month-to-month,No,1.0
Female,65.0,54.2,3510.3,Month-to-month,No,0.0
Female,16.0,115.89,1849.11,Month-to-month,No,1.0
Male,,78.32,4669.78,One year,DSL,0.0
Male,45.0,,3182.41,One year,Fiber optic,0.0
Male,49.0,34.86,1690.92,Two year,No,0.0
Female,59.0,99.81,5921.63,Month-to-month,DSL,1.0
Male,55.0,65.03,3534.46,,Fiber optic,0.0
Female,72.0,72.32,5215.47,two year,Fiber optic,487587.8283052692
Female,-999.0,69.43,4338.52,Two year,Fiber optic,1.0
Female,17.0,71.8,1182.41,Two year,No,0.0
Female,,76.64,370.13,Two year,DSL,0.0
FEMALE,15.0,90.02,1304.33,Month-to-month,Fiber optic,1.0
Female,40.0,47.64,1858.4,One year,Fiber optic,1.0
,7.0,42.93,314658.44331327436,One year,Fiber optic,1.0
Male,71.0,82.23,5830.09,One year,DSL,0.0
Female,44.0,80.07,3556.45,One year,Fiber optic,1.0
Male,65.0,65.7,,Two year,Fiber optic,1.0
Female,12.0,57.42,677.76,Two year,No,0.0
Female,70.0,112.3,7884.59,Month-to-month,No,1.0
Male,4.0,67.77,291.82,Two year,No,0.0
Male,72.0,116.86,8418.1,Month-to-month,DSL,0.0
Male,61.0,27.22,1704.04,Two year,DSL,1.0
Male,36.0,108.08,3924.77,Month-to-month,DSL???,1.0
Male,69.0,44.11,2998.09,Two year,Fiber optic,0.0
Male,44.0,54.9,,One year,DSL,0.0
Female,12.0,87.92,1033.58,Month-to-month,DSL,1.0
Male,20.0,70.72,1370.29,one year,Fiber optic,0.0
Male,4.0,37.88,111.39,Two year,DSL,1.0
Female,34.0,,999999.0,One year,DSL,0.0
Male,64.0,43.1,2719.91,Two year,No,1.0
Female,71.0,59.05,4183.3,One year,DSL,0.0
Male,,60.51,2092.48,Two year,No,0.0
Male,39.0,46.76,1858.27,Two year,Fiber optic,-999.0
Male,48.0,66.92,3215.91,Two year,DSL,0.0
Female,6.0,117.28,715.75,Month-to-month,Fiber optic,1.0
Male,1.0,69.13,44.22,Month-to-month,Fiber optic,1.0
Female,28.0,36.88,998.78,Two year,No,0.0
Male,39.0,98.89,3889.76,Month-to-month,Fiber optic,1.0
Female,56.0,85.34,4809.25,Month-to-month,No,0.0
FEMALE,-999.0,,1253.15,Two year,Fiber optic,0.0
Male,59.0,20.95,1255.23,Two year,Fiber optic,0.0
Male,61.0,97.09,5913.81,Month-to-month,DSL,0.0
Female,51.0,67.24,3444.15,Two year,DSL,1.0
Male,57.0,41.18,2378.54,Two year,DSL,0.0
Female,50.0,118.87,5905.98,Month-to-month,No,1.0
Male,57.0,102.02,5840.98,Month-to-month,DSL,1.0
Female@@,25.0,93.77,,Month-to-month, No ,1.0
Female,47.0,84.5,-999.0,Month-to-month,Fiber optic,1.0
Male,26.0,26.66,999999.0,Two year,Fiber optic,0.0
Male,71.0,101.72,7239.34,Month-to-month,NO,1.0
,132192.26086956522,64.76,545.58,Two year,DSL,0.0
Male,67.0,31.51,2128.97,Two_year,Fiber optic,0.0
Female,72.0,86.27,6225.54,One year,DSL,0.0
Male,42.0,46.44,1968.5,One year,Fiber optic,0.0
Female,67.0,65.72,4381.03,Month-to-month@@,No,1.0
Female,41.0,63.62,2566.6, Month-to-month ,fiber optic,1.0
,29.0,999999.0,2288.33,Two year,Fiber optic,1.0
Female,40.0,93.77,3703.59,,No,1.0
Male,43.0,36.47,1542.05,One year,DSL,0.0
Male,,76.61,3321.8,Two year,DSL,0.0
Male,58.0,25.13,1413.61,Two year,DSL,1.0
Female,9.0,114.34,1023.25,Month-to-month,DSL,1.0
Female,9.0,53.91,440.41,Month-to-month,No,0.0
Female,13.0,33.99,451.83,Two year,Fiber optic,0.0
Male,59.0,77.71,4622.88,One year,Fiber_optic,0.0
Female,4.0,49.69,617246.6719679993,One year,No,1.0
Male,25.0,,1431.63,Two year,DSL,0.0
Female,24.0,105.79,2495.01,Month-to-month,DSL,1.0
Female,66.0,38.67,2590.74,Two year,Fiber optic,0.0
Male,61.0,50.57,3071.65,One year,No,1.0
Male,8.0,107.34,864.66,Month-to-month,No,1.0
Female,26.0,113.6,2982.13,Month-to-month,No,1.0
Female,60.0,,2400.04,Two_year,No,0.0
Female,54.0,36.29,1997.27,One year,DSL,0.0
Female???,29.0,65.61,1875.72,Month-to-month,No,0.0
Male,62.0,68.44,4230.87,Two year,Fiber optic,0.0
Male,47.0,75.05,3532.82,Month-to-month???,DSL,1.0
Female,25.0,74.76,1854.99,Two year,No,0.0
,29.0,77.47,2288.33,Two year,Fiber optic,1.0
,19.0,-999.0,1360.22,,DSL,0.0
,46.0,36.25,1642.64,Two year,Fiber optic,1.0
,23.0,118.7,2775.51,Month-to-month,No,1.0
,34.0,117.38,3967.47,Month-to-month,No,1.0
,,88.63,2483.77,Month-to-month,No,0.0
,31.0,89.14,2765.47,,DSL,0.0
,54.0,36.99,1960.58,One year,DSL,1.0
,17.0,29.54,545.45,,Fiber optic,1.0
,15.0,77.7,1123.51,Two year,Fiber optic,0.0
